NameUa	NameRu	OldNameUa	OldNameRu	Suburb
Мечникова вулиця	Мечникова улица			
Велика Васильківська вулиця	Большая Васильковская улица	Червоноармійська вулиця	Красноармейская улица	
Ярославів Вал вулиця	Ярославов Вал улица			
Петра Сагайдачного вулиця	Петра Сагайдачного улица			
Фізкультури вулиця	Физкультуры улица			
Фізкультури вулиця	Физкультуры улица			
Олени Теліги вулиця	Елены Телиги улица			
Повітрофлотський проспект	Воздухофлотский проспект			
Теодора Драйзера вулиця	Теодора Драйзера улица			
Крайня вулиця	Крайняя улица			
Крайня вулиця	Крайняя улица			
Крайня вулиця	Крайняя улица			
Перова бульвар	Перова бульвар			
Райдужна вулиця	Радужная улица			
Дарницький бульвар	Дарницкий бульвар			
Миколи Кибальчича вулиця	Николая Кибальчича улица			
Набережне шосе	Набережное шоссе			
Набережно-Хрещатицька вулиця	Набережно-Крещатицкая улица			
Дмитрівська вулиця	Дмитриевская улица			
Старовокзальна вулиця	Старовокзальная улица			
Крутий узвіз	Крутой спуск			
Героїв Дніпра вулиця	Героев Днепра улица			
Межигірська вулиця	Межигорская улица			
Межигірська вулиця	Межигорская улица			
Борисоглібська вулиця	Борисоглебская улица			
Григорія Сковороди вулиця	Григория Сковороды улица			
Житньоторзька вулиця	Житнеторжская улица			
Кирилівська вулиця	Кирилловская улица	Фрунзе вулиця	Фрунзе улица	
Коноплянська вулиця	Коноплянская улица			
Вербова вулиця	Вербовая улица			
Бакинська вулиця	Бакинская улица			
Нагірна вулиця	Нагорная улица			
Отто Шмідта вулиця	Отто Шмидта улица			
Стадіонна вулиця	Стадионная улица			
Ползунова вулиця	Ползунова улица			
Єреванська вулиця	Ереванская улица			
Максима Кривоноса вулиця	Максима Кривоноса улица			
Преображенська вулиця	Преображенская улица	Івана Клименка вулиця	Ивана Клименко улица	
Гарматна вулиця	Гарматная улица			
Тетяни Яблонської вулиця	Татьяны Яблонской улица			
Повітрофлотський проспект	Воздухофлотский проспект			
Івана Пулюя вулиця	Ивана Пулюя улица			
Героїв Севастополя вулиця	Героев Севастополя улица			
Валерія Марченка площа		Інтернаціональна площа	Интернациональная площадь	
Данила Щербаківського вулиця	Даниила Щербаковского улица	Щербакова вулиця	Щербакова улица	
Сирецька вулиця	Сырецкая улица			
Щусєва вулиця	Щусева улица			
Охтирський провулок	Ахтырский переулок			
Будівельників вулиця	Строителей улица			
Івана Сергієнка вулиця	Ивана Сергиенка улица			
Івана Сергієнка вулиця	Ивана Сергиенка улица			
Павла Усенка вулиця	Павла Усенко улица			
Юрія Гагаріна проспект	Юрия Гагарина проспект			
Юрія Гагаріна проспект	Юрия Гагарина проспект			
Гната Хоткевича вулиця	Гната Хоткевича улица	Червоногвардійська вулиця	Красногвардейская улица	
Гната Хоткевича вулиця	Гната Хоткевича улица	Червоногвардійська вулиця	Красногвардейская улица	
Курнатовського вулиця	Курнатовского улица			
Оборони Києва вулиця	Обороны Киева улица			
Бударіна вулиця	Бударина улица			
Володимирський проїзд				
Льва Толстого площа	Льва Толстого площадь			
Рибальський вантовий міст	Рыбальский вантовый мост			
Вереснева вулиця	Сентябрьская улица			
Деревообробний провулок	Деревообрабатывающий переулок			
Баренбойма вулиця	Баренбойма улица			
Колекторна вулиця	Коллекторная улица			
Світла вулиця	Светлая улица			
Севастопольська площа	Севастопольская площадь			
Дегтярівська вулиця	Дегтяревская улица			
Дегтярівська вулиця	Дегтяревская улица			
Табірна вулиця	Лагерная улица	Лагерна вулиця		
Черняховського вулиця	Черняховского улица			
Індустріальний провулок	Индустриальный переулок			
Уманська вулиця	Уманская улица			
Промислова вулиця	Промышленная улица			Теличка
Архітектора Ніколаєва вулиця	Архитектора Николаева улица			
Очаківська вулиця	Очаковская улица			
Левка Мацієвича вулиця		Соціалістична вулиця	Социалистическая улица	
Василя Жуковського вулиця	Василия Жуковского улица			
Маричанська вулиця	Маричанская улица	Андрія Бубнова вулиця	Андрея Бубнова улица	
Васильківська вулиця	Васильковская улица			
Амурська вулиця	Амурская улица			
Сумська вулиця	Сумская улица			
Павла Потоцького вулиця		Комсомольська вулиця	Комсомольская улица	
Павла Потоцького вулиця		Комсомольська вулиця	Комсомольская улица	
Планетарна вулиця	Планетарная улица			Жуляни
Героїв Війни вулиця	Героев Войны улица			
Шевченка провулок	Шевченко переулок			
Краснодарська вулиця	Краснодарская улица			
Ставропольська вулиця	Ставропольская улица			
Георгія Кірпи вулиця	Георгия Кирпы улица			
майдан Незалежності	площадь Независимости			
Старонаводницька вулиця	Старонаводницкая улица			
Лаврська вулиця	Лаврская улица	Січневого повстання вулиця	Январского восстания улица	
Старонаводницька вулиця	Старонаводницкая улица			
Нижньоюрківський провулок	Нижнеюрковский переулок			
Попудренка вулиця	Попудренко улица			
Георгіївський провулок	Георгиевский переулок			
Банкова вулиця	Банковая улица			
Літня вулиця	Летняя улица			
Патона міст	Патона мост			
Академіка Зелінського провулок	Академика Зелинского переулок			
Ольжича вулиця	Ольжича улица			
Мартиросяна вулиця	Мартиросяна улица			
Козацька вулиця	Казацкая улица			
Маршала Говорова провулок	Маршала Говорова переулок			
Гвардійська вулиця	Гвардейская улица			
Подільський мостовий перехід	Подольский мостовой переход			
Микільсько-Слобідська вулиця	Никольско-Слободская улица			
Микільсько-Слобідська вулиця	Никольско-Слободская улица			
