NameUa	NameRu	OldNameUa	OldNameRu	Lat	Lon
Любидва	Любидва			50.9961320	30.0781590
Обуховичі	Обуховичи			50.9937290	29.7671110
Федорівка	Фёдоровка			50.9885790	29.9137100
Пироговичі	Пироговичи			50.9851420	29.9727590
Чкаловка	Чкаловка			50.9851420	29.6682400
Сидоровичі	Сидоровичи			50.9823190	29.5905230
Рахвалівка	Рахваловка			50.9782790	29.4323690
Овдієва Нива	Авдеева Нива			50.9718413	30.2338232
Рихта	Рыхта			50.9769290	30.1560190
Олізарівка	Олизаровка			50.9741590	29.5216880
Воропаївка	Воропаевка			50.9720990	30.0139600
Варівськ	Варовск			50.9580190	29.4732300
Сукачі	Сукачи			50.9576800	29.9349990
Болотня	Болотня			50.9576800	29.8883090
Станішівка	Станишовка			50.9559590	29.7506290
Шевченкове	Шевченково			50.9525300	29.6720100
Людвинівка	Людвиновка			50.9507030	29.4575810
Сичівка	Сычовка			50.9484100	30.3092190
Рудня-Сидорівська	Рудня-Сидоровская			50.9497640	29.5712510
Білий Берег	Белый Берег			50.9456600	29.9755100
Вахівка	Ваховка			50.9408610	30.0946410
Сухолуччя	Сухолучье			50.9429360	30.4386370
Іванків	Иванков			50.9330100	29.9042867
Рокитна Слобода	Ракитная Слобода			50.9298710	29.9648700
Розважів	Розважев			50.9236910	29.6448900
Кропивня	Крапивня			50.9236910	29.5164910
Ставрівка	Ставровка			50.9233510	29.7169900
Мокра Корма	Мокрая Корма			50.9209250	29.5697960
Любимівка	Любимовка			50.9185410	30.2642400
Дмитрівка		Петрівське	Петровское	50.9168210	30.3483600
Жеревпілля	Жеревполье			50.9157910	29.6483190
Шпилі	Шпили			50.9151120	29.9518200
Запрудка	Запрудка			50.9147610	29.8495100
Андріївка	Андреевка			50.9090770	30.2220730
Старовичі	Старовичи			50.8993110	29.6136490
Захарівка	Захаровка			50.8965680	29.5010400
Толокунь	Толокунь			50.8891720	30.4327550
Жерева	Жерева			50.8890110	29.7173310
Рудня-Шпилівська	Рудня-Шпилевская			50.8883290	29.9858090
Володимирівка	Владимировка			50.8866080	30.1228010
Федорівка	Фёдоровка			50.8828320	30.2676790
Олива	Олива			50.8817600	29.5475770
Рови	Ровы			50.8779170	30.3042776
Коленцівське	Коленцовское			50.8752780	29.8464200
Трость				50.8745900	30.1911200
Коленці	Коленцы			50.8734197	29.8692495
